Industry,Male_Median,Female_Median,Gap_Percent
Personal care aides,739,707,4.330175913396482
Nursing assistants,850,743,12.588235294117647
Other healthcare support workers,1037,822,20.73288331726133
Protective service occupations,1187,906,23.67312552653749
Correctional officers and jailers,1048,897,14.408396946564887
Police officers,1494,1221,18.27309236947791
Private detectives and investigators,1308,1305,0.22935779816513763
Security guards and gambling surveillance officers,792,718,9.343434343434344
Food preparation and serving related occupations,717,653,8.92608089260809
Chefs and head cooks,909,784,13.751375137513753
First-line supervisors of food preparation and serving workers,893,803,10.078387458006718
Cooks,694,617,11.095100864553315
Food preparation workers,662,638,3.625377643504532
Bartenders,829,719,13.268998793727382
Fast food and counter workers,676,613,9.319526627218936
Waiters and waitresses,698,642,8.022922636103152
"Food servers, nonrestaurant",823,635,22.84325637910085
Dining room and cafeteria attendants and bartender helpers,722,615,14.81994459833795
Building and grounds cleaning and maintenance occupations,780,674,13.58974358974359
First-line supervisors of housekeeping and janitorial workers,1117,837,25.067144136078785
Janitors and building cleaners,779,651,16.43132220795892
Maids and housekeeping cleaners,710,674,5.070422535211268
Personal care and service occupations,880,725,17.613636363636363
Sales and office occupations,1156,894,22.664359861591695
Sales and related occupations,1264,880,30.37974683544304
First-line supervisors of retail sales workers,1152,903,21.614583333333336
First-line supervisors of non-retail sales workers,1562,1117,28.489116517285527
Cashiers,684,616,9.941520467836257
Retail salespersons,988,765,22.57085020242915
Advertising sales agents,2099,1636,22.05812291567413
Insurance sales agents,1414,966,31.683168316831683
"Securities, commodities, and financial services sales agents",2305,1225,46.85466377440347
"Sales representatives of services, except advertising, insurance, financial services, and travel",1543,1159,24.88658457550227
"Sales representatives, wholesale and manufacturing",1652,1201,27.300242130750608
Real estate brokers and sales agents,1743,1147,34.19391853126793
"Sales and related workers, all other",1139,934,17.998244073748904
Office and administrative support occupations,1054,898,14.800759013282732
First-line supervisors of office and administrative support workers,1358,1089,19.808541973490428
"Bookkeeping, accounting, and auditing clerks",1154,936,18.890814558058924
Customer service representatives,936,836,10.683760683760683
Receptionists and information clerks,900,756,16.0
Couriers and messengers,931,775,16.756176154672396
"Dispatchers, except police, fire, and ambulance",1026,926,9.746588693957115
Postal service mail carriers,1241,1164,6.2046736502820306
"Production, planning, and expediting clerks",1386,1164,16.017316017316016
"Shipping, receiving, and inventory clerks",888,788,11.26126126126126
"Secretaries and administrative assistants, except legal, medical, and executive",1090,918,15.77981651376147
Insurance claims and policy processing clerks,986,882,10.547667342799189
"Office clerks, general",1003,847,15.553339980059821
"Office and administrative support workers, all other",1072,999,6.809701492537314
"Natural resources, construction, and maintenance occupations",1067,800,25.023430178069354
"Farming, fishing, and forestry occupations",733,684,6.684856753069577
Miscellaneous agricultural workers,716,678,5.307262569832402
Construction and extraction occupations,1022,853,16.53620352250489
"Installation, maintenance, and repair occupations",1163,922,20.72226999140155
"Production, transportation, and material moving occupations",946,746,21.141649048625794
Production occupations,989,767,22.446916076845298
First-line supervisors of production and operating workers,1335,982,26.44194756554307
"Electrical, electronics, and electromechanical assemblers",912,808,11.403508771929824
Other assemblers and fabricators,928,767,17.349137931034484
Bakers,767,669,12.777053455019557
Other metal workers and plastic workers,913,724,20.700985761226725
"Inspectors, testers, sorters, samplers, and weighers",1034,831,19.63249516441006
Packaging and filling machine operators and tenders,782,703,10.10230179028133
Other production workers,921,763,17.15526601520087
Transportation and material moving occupations,910,723,20.549450549450547
Supervisors of transportation and material moving workers,1276,902,29.310344827586203
"Bus drivers, transit and intercity",1001,821,17.982017982017982
Driver/sales workers and truck drivers,1062,771,27.401129943502823
Industrial truck and tractor operators,863,799,7.415990730011587
"Laborers and freight, stock, and material movers, hand",821,706,14.007308160779536
"Packers and packagers, hand",721,687,4.715672676837725
Stockers and order fillers,726,704,3.0303030303030303
